period,cost_center,country,budget_cost,actual_cost,variance,variance_pct,headcount_effect,rate_effect,mix_effect,one_off_effect,material_flag,primary_driver
2026-01,CC200,CR1,89020.81,93925.68,4904.87,5.5,3870.47,991.3,43.1,0.0,NO,
2026-02,CC200,CR1,89020.81,98412.34,9391.53,10.5,11611.41,-1963.74,-256.14,0.0,NO,
2026-03,CC200,CR1,92891.28,93207.75,316.47,0.3,3870.47,-3411.84,-142.16,0.0,NO,
2026-04,CC200,CR1,92891.28,93312.0,420.72,0.5,3870.47,-3311.76,-137.99,0.0,NO,
2026-05,CC200,CR1,96761.75,96173.04,-588.71,-0.6,-3870.47,3418.5,-136.74,0.0,NO,
2026-06,CC200,CR1,96761.75,95640.0,-1121.75,-1.2,-3870.47,2863.25,-114.53,0.0,NO,
2026-01,CC200,MX1,96521.75,89812.47,-6709.28,-7.0,-7721.74,1100.5,-88.04,0.0,NO,
2026-02,CC200,MX1,96521.75,99197.02,2675.27,2.8,3860.87,-1140.0,-45.6,0.0,NO,
2026-03,CC200,MX1,100382.62,106373.68,5991.06,6.0,7721.74,-1607.06,-123.62,0.0,NO,
2026-04,CC200,MX1,100382.62,113771.84,13389.22,13.3,7721.74,5262.66,404.82,0.0,NO,
2026-05,CC200,MX1,104243.49,108063.45,3819.96,3.7,0.0,3819.96,0.0,0.0,NO,
2026-06,CC200,MX1,104243.49,101808.25,-2435.24,-2.3,-7721.74,5709.42,-422.92,0.0,NO,
2026-01,CC200,PL1,118695.26,111630.15,-7065.11,-6.0,-8185.88,1203.79,-83.02,0.0,NO,
2026-02,CC200,PL1,118695.26,121292.92,2597.66,2.2,-4092.94,6929.55,-238.95,0.0,NO,
2026-03,CC200,PL1,122788.2,131755.14,8966.94,7.3,12278.82,-3010.8,-301.08,0.0,NO,
2026-04,CC200,PL1,122788.2,125727.9,2939.7,2.4,0.0,2939.7,0.0,0.0,NO,
2026-05,CC200,PL1,126881.14,140582.18,13701.04,10.8,12278.82,1296.73,125.49,0.0,NO,
2026-06,CC200,PL1,126881.14,129175.36,2294.22,1.8,4092.94,-1742.51,-56.21,0.0,NO,
2026-01,CC300,CR1,73756.62,64763.52,-8993.1,-12.2,-8195.18,-897.66,99.74,0.0,NO,
2026-02,CC300,CR1,73756.62,88116.63,14360.01,19.5,12292.77,1771.92,295.32,0.0,NO,
2026-03,CC300,CR1,77854.21,80454.55,2600.34,3.3,0.0,2600.34,0.0,0.0,NO,
2026-04,CC300,CR1,77854.21,71632.39,-6221.82,-8.0,-8195.18,2205.52,-232.16,0.0,NO,
2026-05,CC300,CR1,81951.8,83246.8,1295.0,1.6,0.0,1295.0,0.0,0.0,NO,
2026-06,CC300,CR1,81951.8,80650.6,-1301.2,-1.6,0.0,-1301.2,-0.0,0.0,NO,
2026-01,CC300,MX1,43716.97,45292.72,1575.75,3.6,0.0,1575.75,0.0,0.0,NO,
2026-02,CC300,MX1,43716.97,41733.7,-1983.27,-4.5,-3974.27,2190.1,-199.1,0.0,NO,
2026-03,CC300,MX1,47691.24,59301.0,11609.76,24.3,11922.81,-250.44,-62.61,0.0,NO,
2026-04,CC300,MX1,47691.24,52509.34,4818.1,10.1,3974.27,778.92,64.91,0.0,NO,
2026-05,CC300,MX1,51665.51,54268.5,2602.99,5.0,0.0,2602.99,0.0,0.0,NO,
2026-06,CC300,MX1,51665.51,50125.92,-1539.59,-3.0,-3974.27,2637.57,-202.89,0.0,NO,
2026-01,CC300,PL1,176081.28,177751.2,1669.92,0.9,5502.54,-3716.48,-116.14,0.0,NO,
2026-02,CC300,PL1,176081.28,194355.35,18274.07,10.4,16507.62,1615.04,151.41,0.0,YES,HEADCOUNT
2026-03,CC300,PL1,181583.82,210428.96,28845.14,15.9,0.0,2437.71,0.0,26407.43,YES,ONE_OFF
2026-04,CC300,PL1,181583.82,175623.03,-5960.79,-3.3,0.0,-5960.79,-0.0,0.0,NO,
2026-05,CC300,PL1,187086.36,186764.16,-322.2,-0.2,-5502.54,5337.32,-156.98,0.0,NO,
2026-06,CC300,PL1,187086.36,187407.66,321.3,0.2,-5502.54,6000.32,-176.48,0.0,NO,
2026-01,CC400,CR1,89665.75,94060.4,4394.65,4.9,4719.25,-308.37,-16.23,0.0,NO,
2026-02,CC400,CR1,89665.75,101314.29,11648.54,13.0,9438.5,1999.56,210.48,0.0,NO,
2026-03,CC400,CR1,94385.0,87217.92,-7167.08,-7.6,-9438.5,2523.8,-252.38,0.0,NO,
2026-04,CC400,CR1,94385.0,98956.0,4571.0,4.8,0.0,4571.0,0.0,0.0,NO,
2026-05,CC400,CR1,99104.25,95216.73,-3887.52,-3.9,0.0,-3887.52,-0.0,0.0,NO,
2026-06,CC400,CR1,99104.25,103551.84,4447.59,4.5,0.0,4447.59,0.0,0.0,NO,
2026-01,CC400,MX1,87087.0,87966.84,879.84,1.0,0.0,879.84,0.0,0.0,NO,
2026-02,CC400,MX1,87087.0,87963.98,876.98,1.0,0.0,876.98,0.0,0.0,NO,
2026-03,CC400,MX1,90436.5,104935.2,14498.7,16.0,10048.5,4005.18,445.02,0.0,NO,
2026-04,CC400,MX1,90436.5,100879.4,10442.9,11.5,6699.0,3485.7,258.2,0.0,NO,
2026-05,CC400,MX1,93786.0,93856.84,70.84,0.1,0.0,70.84,0.0,0.0,NO,
2026-06,CC400,MX1,93786.0,98314.93,4528.93,4.8,3349.5,1138.76,40.67,0.0,NO,
2026-01,CC400,PL1,65082.6,84244.02,19161.42,29.4,17749.8,1109.13,302.49,0.0,YES,HEADCOUNT
2026-02,CC400,PL1,65082.6,52835.49,-12247.11,-18.8,-11833.2,-505.89,91.98,0.0,NO,
2026-03,CC400,PL1,70999.2,78704.34,7705.14,10.9,5916.6,1650.96,137.58,0.0,NO,
2026-04,CC400,PL1,70999.2,81388.44,10389.24,14.6,11833.2,-1237.68,-206.28,0.0,NO,
2026-05,CC400,PL1,76915.8,77643.54,727.74,0.9,0.0,727.74,0.0,0.0,NO,
2026-06,CC400,PL1,76915.8,81885.02,4969.22,6.5,5916.6,-879.71,-67.67,0.0,NO,
2026-01,CC500,CR1,103432.16,104705.73,1273.57,1.2,3978.16,-2604.42,-100.17,0.0,NO,
2026-02,CC500,CR1,103432.16,99702.48,-3729.68,-3.6,-7956.32,4578.86,-352.22,0.0,NO,
2026-03,CC500,CR1,107410.32,111526.8,4116.48,3.8,3978.16,133.38,4.94,0.0,NO,
2026-04,CC500,CR1,107410.32,106764.21,-646.11,-0.6,0.0,-646.11,-0.0,0.0,NO,
2026-05,CC500,CR1,111388.48,141956.12,30567.64,27.4,7956.32,-171.08,-12.22,22794.62,YES,ONE_OFF
2026-06,CC500,CR1,111388.48,115718.96,4330.48,3.9,0.0,4330.48,0.0,0.0,NO,
2026-01,CC500,MX1,70960.65,89305.38,18344.73,25.9,14192.13,3460.5,692.1,0.0,YES,HEADCOUNT
2026-02,CC500,MX1,70960.65,80083.68,9123.03,12.9,4730.71,4117.8,274.52,0.0,NO,
2026-03,CC500,MX1,75691.36,79165.28,3473.92,4.6,0.0,3473.92,0.0,0.0,NO,
2026-04,CC500,MX1,75691.36,78332.96,2641.6,3.5,0.0,2641.6,0.0,0.0,NO,
2026-05,CC500,MX1,80422.07,93747.6,13325.53,16.6,14192.13,-736.61,-129.99,0.0,NO,
2026-06,CC500,MX1,80422.07,78776.81,-1645.26,-2.0,0.0,-1645.26,-0.0,0.0,NO,
2026-01,CC500,PL1,151113.56,156757.64,5644.08,3.7,0.0,5644.08,0.0,0.0,NO,
2026-02,CC500,PL1,151113.56,142374.96,-8738.6,-5.8,-11624.12,3125.98,-240.46,0.0,NO,
2026-03,CC500,PL1,156925.62,170846.25,13920.63,8.9,11624.12,2138.13,158.38,0.0,NO,
2026-04,CC500,PL1,156925.62,167495.7,10570.08,6.7,17436.18,-6179.49,-686.61,0.0,NO,
2026-05,CC500,PL1,162737.68,170324.25,7586.57,4.7,5812.06,1713.32,61.19,0.0,NO,
2026-06,CC500,PL1,162737.68,173592.9,10855.22,6.7,11624.12,-717.64,-51.26,0.0,NO,
2026-01,CC600,CR1,169507.0,164561.6,-4945.4,-2.9,-9971.0,5339.7,-314.1,0.0,NO,
2026-02,CC600,CR1,169507.0,171058.76,1551.76,0.9,0.0,1551.76,0.0,0.0,NO,
2026-03,CC600,CR1,174492.5,178937.24,4444.74,2.5,-4985.5,9707.6,-277.36,0.0,NO,
2026-04,CC600,CR1,174492.5,182148.12,7655.62,4.4,4985.5,2595.95,74.17,0.0,NO,
2026-05,CC600,CR1,179478.0,190991.04,11513.04,6.4,4985.5,6351.12,176.42,0.0,NO,
2026-06,CC600,CR1,179478.0,178552.08,-925.92,-0.5,0.0,-925.92,-0.0,0.0,NO,
2026-01,CC600,MX1,108465.35,106735.53,-1729.82,-1.6,-6198.02,4739.0,-270.8,0.0,NO,
2026-02,CC600,MX1,108465.35,99333.96,-9131.39,-8.4,-6198.02,-3111.15,177.78,0.0,NO,
2026-03,CC600,MX1,111564.36,107401.92,-4162.44,-3.7,-6198.02,2155.32,-119.74,0.0,NO,
2026-04,CC600,MX1,111564.36,120461.52,8897.16,8.0,6198.02,2557.08,142.06,0.0,NO,
2026-05,CC600,MX1,114663.37,118039.78,3376.41,2.9,3099.01,270.1,7.3,0.0,NO,
2026-06,CC600,MX1,114663.37,122474.0,7810.63,6.8,3099.01,4587.63,123.99,0.0,NO,
2026-01,CC600,PL1,170268.28,171597.3,1329.02,0.8,5871.32,-4390.89,-151.41,0.0,NO,
2026-02,CC600,PL1,170268.28,185653.42,15385.14,9.0,11742.64,3407.5,235.0,0.0,YES,HEADCOUNT
2026-03,CC600,PL1,176139.6,161067.76,-15071.84,-8.6,-11742.64,-3567.0,237.8,0.0,YES,HEADCOUNT
2026-04,CC600,PL1,176139.6,188035.46,11895.86,6.8,5871.32,5830.2,194.34,0.0,NO,
2026-05,CC600,PL1,182010.92,186749.12,4738.2,2.6,5871.32,-1097.71,-35.41,0.0,NO,
2026-06,CC600,PL1,182010.92,192640.14,10629.22,5.8,11742.64,-1045.94,-67.48,0.0,NO,
